1, 5.0, 2283
0, 2.0, 302
1, 5.0, 331
0, 2.5, 439
1, 5.0, 307
0, 2.5, 451
1, 4.5, 1238
0, 2.5, 394
1, 4.5, 843
0, 2.5, 362
1, 4.5, 677
0, 2.5, 314
1, 4.5, 709
0, 2.5, 726
1, 4.5, 970
0, 2.5, 615
1, 4.5, 330
0, 2.5, 310
1, 4.5, 817
0, 2.5, 448
1, 4.5, 425
0, 2.5, 862
1, 4.5, 583
0, 2.5, 554
1, 4.5, 479
0, 2.5, 485
1, 4.5, 443
0, 3.0, 1336
1, 4.5, 467
0, 3.0, 683
1, 4.5, 355
0, 3.0, 1086
1, 4.5, 362
0, 3.0, 424
1, 4.5, 366
0, 3.0, 326
1, 4.5, 1516
0, 3.0, 349
1, 4.5, 415
0, 3.0, 413
1, 4.5, 445
0, 3.0, 335
1, 4.5, 343
0, 3.0, 1030
1, 4.5, 1152
0, 3.0, 964
1, 4.5, 650
0, 3.0, 705
1, 4.5, 736
0, 3.0, 542
1, 4.5, 486
0, 3.0, 454
1, 4.5, 407
0, 3.0, 472
1, 4.5, 383
0, 3.0, 474
1, 4.5, 346
0, 3.0, 502
1, 4.5, 349
0, 3.0, 337
1, 4.5, 7411
0, 3.0, 516
1, 4.5, 2673
0, 3.0, 310
1, 4.5, 4267
0, 3.0, 364
1, 4.5, 2618
0, 3.0, 311
1, 4.5, 2753
0, 3.0, 327
1, 4.5, 2726
0, 3.0, 409
1, 4.5, 2217
0, 3.0, 346
1, 4.5, 2381
0, 3.0, 491
1, 4.5, 2399
0, 3.0, 443
1, 4.5, 2545
0, 3.0, 345
1, 4.5, 3113
0, 3.0, 3872
1, 4.5, 2738
0, 3.0, 3186
1, 4.5, 2455
0, 3.0, 2277
1, 4.5, 2631
0, 3.0, 1166
1, 4.5, 1338
0, 3.0, 680
1, 4.5, 2015
0, 3.0, 542
1, 4.5, 1318
0, 3.0, 518
1, 4.5, 1923
0, 3.0, 552
1, 4.5, 1524
0, 3.0, 620
1, 4.5, 2406
0, 3.0, 548
1, 4.5, 1506
0, 3.0, 470
1, 4.5, 1567
0, 3.0, 390
1, 4.5, 1958
0, 3.0, 360
1, 4.5, 1952
0, 3.0, 357
1, 4.5, 1072
0, 3.0, 421
1, 4.5, 2438
0, 3.0, 323
1, 4.5, 1690
0, 3.0, 320
1, 4.5, 1051
0, 3.0, 1475
1, 4.5, 1818
0, 3.0, 950
1, 4.5, 1815
0, 3.0, 785
1, 4.5, 1590
0, 3.0, 397
1, 4.5, 2003
0, 3.0, 523
1, 4.5, 1526
0, 3.0, 496
1, 4.5, 1654
0, 3.0, 440
1, 4.5, 1489
0, 3.0, 349
1, 4.5, 1467
0, 3.0, 341
1, 4.5, 1488
0, 3.0, 404
1, 4.5, 1526
0, 3.0, 310
1, 4.5, 1753
0, 3.0, 548
1, 4.5, 1194
0, 3.0, 344
1, 4.5, 985
0, 3.0, 426
1, 4.5, 1130
0, 3.0, 516
1, 4.5, 1063
0, 3.0, 449
1, 4.5, 1476
0, 3.0, 358
1, 4.5, 1355
0, 3.0, 305
1, 4.5, 1560
0, 3.0, 345
1, 4.5, 1387
0, 3.0, 917
1, 4.5, 1422
0, 3.0, 403
1, 4.5, 1457
0, 3.0, 383
1, 4.5, 1353
0, 3.5, 4073
1, 4.5, 899
0, 3.5, 1534
1, 4.5, 630
0, 3.5, 1300
1, 4.5, 1495
0, 3.5, 1491
1, 4.5, 1330
0, 3.5, 1026
1, 4.5, 1258
0, 3.5, 1626
1, 4.5, 1095
0, 3.5, 899
1, 4.5, 1036
0, 3.5, 1137
1, 4.5, 639
0, 3.5, 857
1, 4.5, 791
0, 3.5, 938
1, 4.5, 925
0, 3.5, 732
1, 4.5, 980
0, 3.5, 723
1, 4.5, 726
0, 3.5, 812
1, 4.5, 1079
0, 3.5, 534
1, 4.5, 912
0, 3.5, 680
1, 4.5, 728
0, 3.5, 515
1, 4.5, 625
0, 3.5, 525
1, 4.5, 597
0, 3.5, 478
1, 4.5, 792
0, 3.5, 905
1, 4.5, 691
0, 3.5, 816
1, 4.5, 468
0, 3.5, 529
