3.5, 110
4.5, 29
3.5, 80
4.5, 44
3.5, 96
4.0, 506
4.0, 75
3.5, 128
3.5, 93
3.5, 99
3.5, 127
3.5, 93
4.0, 302
4.0, 47
3.5, 134
4.0, 263
3.0, 201
4.0, 290
4.0, 47
3.0, 150
4.0, 193
4.0, 286
4.0, 58
3.0, 110
4.0, 360
4.5, 35
3.0, 135
4.0, 126
3.0, 167
4.0, 116
3.5, 100
4.0, 217
4.5, 20
3.5, 557
4.0, 247
3.0, 184
4.0, 129
4.0, 381
3.5, 140
4.0, 380
3.5, 63
4.5, 30
3.5, 72
3.5, 86
3.5, 55
5.0, 17
3.0, 111
4.0, 247
4.0, 32
3.5, 367
3.0, 146
4.0, 83
3.0, 192
3.0, 131
4.0, 44
4.5, 109
3.5, 265
4.0, 220
4.0, 205
4.0, 189
3.5, 77
3.5, 67
3.0, 164
4.5, 86
4.0, 56
3.0, 76
4.0, 158
4.5, 27
4.0, 338
3.0, 132
3.0, 154
4.0, 41
3.0, 143
3.5, 414
4.0, 180
3.5, 74
4.0, 42
3.0, 128
3.5, 65
4.5, 54
3.5, 106
3.0, 107
4.0, 117
4.5, 103
3.5, 57
3.5, 188
3.5, 60
4.0, 108
3.5, 242
3.0, 96
3.5, 143
4.0, 35
4.0, 265
4.0, 25
3.0, 107
4.5, 18
4.5, 49
4.5, 39
4.0, 24
4.0, 242
3.0, 100
4.0, 352
3.0, 69
3.5, 48
3.5, 246
3.0, 85
3.5, 179
3.0, 76
4.0, 106
3.5, 223
3.5, 155
3.5, 225
5.0, 37
4.5, 110
2.5, 205
3.0, 77
3.5, 33
2.5, 144
3.0, 69
3.5, 28
4.5, 95
3.5, 35
3.5, 44
4.0, 124
4.0, 24
3.0, 73
3.5, 45
3.5, 142
3.0, 93
3.0, 69
3.0, 83
3.5, 94
2.5, 127
5.0, 42
4.5, 58
4.0, 108
4.0, 135
4.0, 204
4.0, 94
3.0, 49
2.5, 96
3.5, 46
3.0, 76
4.0, 53
3.5, 370
3.5, 44
3.5, 99
3.5, 160
4.0, 59
4.0, 85
3.5, 31
4.0, 163
3.5, 130
3.0, 69
3.5, 40
4.0, 113
3.5, 105
3.5, 34
3.0, 83
5.0, 15
3.5, 170
3.5, 200
3.0, 65
3.5, 24
3.5, 154
3.5, 165
4.0, 123
5.0, 7
4.0, 38
2.5, 89
4.5, 41
4.5, 53
3.0, 52
4.5, 55
4.0, 79
4.5, 28
4.0, 20
3.5, 88
4.0, 18
4.5, 51
3.5, 74
3.5, 284
3.5, 143
4.5, 56
4.0, 40
3.5, 160
4.0, 36
3.0, 29
3.5, 208
3.0, 26
3.0, 55
3.5, 14
3.0, 40
3.5, 55
3.0, 32
4.5, 31
3.5, 95
3.5, 120
4.5, 27
4.0, 43
4.0, 14
3.0, 27
2.0, 94
4.0, 54
4.5, 7
3.5, 120
4.0, 50
2.0, 73
3.5, 97
4.5, 22
3.0, 28
4.0, 36
5.0, 9
3.5, 90
3.0, 246
4.0, 10
4.0, 37
2.5, 45
2.5, 37
4.5, 9
2.5, 244
3.0, 154
3.5, 72
4.0, 25
3.0, 88
3.5, 73
3.0, 84
4.0, 39
3.5, 119
4.0, 46
4.0, 43
3.5, 15
3.0, 75
3.5, 16
4.5, 7
3.5, 14
3.5, 85
3.5, 72
3.0, 48
4.0, 26
2.5, 29
3.5, 46
4.5, 75
3.0, 28
3.5, 50
3.5, 73
3.5, 19
3.5, 64
5.0, 4
4.5, 28
3.5, 28
4.0, 9
4.5, 22
3.0, 86
2.5, 33
3.0, 110
3.0, 13
3.0, 18
3.5, 11
2.5, 21
4.0, 29
2.0, 44
3.5, 50
3.5, 7
4.0, 5
3.5, 85
4.5, 3
3.5, 25
3.5, 35
3.5, 38
4.5, 4
4.0, 8
3.5, 86
5.0, 3
3.5, 56
4.0, 17
4.5, 25
3.0, 16
3.0, 43
3.0, 133
3.5, 34
4.0, 4
2.0, 28
4.0, 29
3.5, 6
4.0, 5
4.0, 14
2.0, 35
2.5, 22
3.5, 31
3.0, 72
3.0, 55
3.0, 48
2.5, 18
3.0, 10
3.5, 27
4.0, 35
3.0, 41
2.0, 20
3.0, 8
5.0, 2
4.0, 4
4.0, 13
2.5, 86
3.0, 42
2.5, 51
4.5, 2
2.5, 10
2.5, 8
3.5, 24
2.0, 120
2.5, 7
2.0, 12
5.0, 3
3.5, 4
2.0, 9
2.5, 10
3.0, 5
3.0, 4
3.0, 5
5.0, 1
4.0, 10
2.0, 11
5.0, 1
5.0, 1
3.5, 4
4.0, 2
2.5, 5
2.5, 35
3.0, 5
5.0, 1
1.5, 15
1.5, 13
3.5, 2
3.5, 14
5.0, 3
3.5, 7
3.5, 2
3.0, 20
4.0, 9
2.5, 4
2.5, 4
4.0, 7
2.0, 5
4.0, 5
4.0, 1
3.0, 2
2.5, 3
2.5, 2
2.5, 23
3.0, 12
2.5, 2
2.5, 2
4.0, 3
2.0, 6
4.0, 4
3.0, 1
3.0, 1
1.5, 4
3.0, 1
2.0, 4
3.0, 2
2.5, 10
3.0, 6
3.0, 2
1.5, 3
2.5, 3
5.0, 1
3.5, 3
2.0, 1
1.0, 2
1.0, 3
3.0, 5
2.0, 1
1.0, 2
1.0, 1
1.0, 1
4.0, 1
3.0, 4
3.0, 9
3.0, 2
5.0, 3
1.5, 8
1.0, 1
5.0, 1
5.0, 1
5.0, 1
1.0, 1
5.0, 1
1.0, 1
4.0, 3727
4.0, 5671
4.0, 2437
4.0, 1552
4.0, 1487
4.0, 1485
4.0, 1631
4.0, 1612
4.0, 1937
4.0, 1492
4.0, 968
4.0, 1118
3.5, 1870
4.0, 1368
3.5, 2057
4.0, 1109
4.0, 816
4.0, 553
3.5, 1363
4.0, 934
3.5, 1779
3.5, 2156
4.0, 649
3.5, 1300
4.0, 924
4.0, 457
3.5, 1201
3.5, 842
3.5, 1456
3.5, 1023
4.0, 737
4.0, 580
4.0, 370
4.0, 437
4.0, 511
3.5, 1463
4.0, 494
3.5, 1631
4.0, 521
3.5, 1417
4.0, 392
5.0, 131
4.0, 649
4.0, 602
4.0, 708
3.5, 750
3.5, 715
4.5, 218
4.0, 549
3.5, 683
4.0, 504
3.5, 635
4.0, 401
4.5, 227
4.0, 516
4.0, 510
4.0, 469
4.0, 449
4.0, 293
4.5, 160
4.0, 513
4.0, 287
4.5, 156
3.5, 625
3.5, 612
3.5, 585
4.0, 371
4.5, 133
4.0, 376
4.0, 219
4.0, 183
3.5, 496
4.0, 280
3.5, 626
3.5, 790
3.5, 482
4.0, 297
4.0, 430
4.0, 354
3.5, 558
4.0, 265
4.5, 168
3.5, 786
3.5, 736
4.0, 162
4.0, 271
4.0, 222
3.5, 411
4.0, 303
3.5, 534
4.5, 156
4.0, 165
3.5, 386
4.0, 174
4.0, 238
3.5, 319
3.5, 464
3.5, 379
4.0, 263
4.5, 127
3.5, 302
4.5, 81
3.5, 385
3.5, 485
4.0, 277
4.0, 220
4.0, 279
3.5, 489
3.5, 365
3.5, 534
4.0, 227
4.5, 128
3.5, 427
4.5, 127
4.0, 256
4.0, 208
3.5, 404
4.0, 163
3.5, 286
4.0, 235
4.5, 89
4.0, 182
4.0, 175
3.5, 359
4.0, 198
4.0, 200
3.5, 264
